year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,272.0,149.0,88.0,44.0,22.0,62.0,79.0,50.0,58.0,75.0,123.0,22.0,250.0,0.92
2000/01,Fall,272,165,78,34,26,80,77,43,42,71,132,26,246,0.9
2000/01,Winter,272,143,75,31,22,67,62,38,38,74,119,22,250,0.92
2000/01,Spring,272.0,171.0,100.0,47.0,35.0,88.0,70.0,59.0,54.0,92.0,140.0,35.0,237.0,0.87
2001/02,Summer,273.0,163.0,109.0,50.0,32.0,67.0,78.0,51.0,57.0,83.0,131.0,32.0,241.0,0.88
2001/02,Fall,262,145,85,37,34,71,55,35,51,80,132,34,228,0.87
2001/02,Winter,307,228,124,71,52,88,103,60,65,106,152,52,255,0.83
2001/02,Spring,307.0,214.0,145.0,88.0,60.0,92.0,104.0,69.0,84.0,119.0,166.0,60.0,247.0,0.8
2002/03,Summer,275.0,192.0,123.0,67.0,44.0,84.0,109.0,53.0,57.0,93.0,139.0,44.0,231.0,0.84
2002/03,Fall,269,189,99,40,33,66,67,39,60,94,141,33,236,0.88
2002/03,Winter,269,180,88,37,20,49,66,29,47,91,140,20,249,0.93
2002/03,Spring,267.0,189.0,104.0,50.0,36.0,73.0,51.0,28.0,49.0,95.0,141.0,28.0,239.0,0.9
2003/04,Summer,267.0,174.0,99.0,59.0,38.0,56.0,69.0,35.0,36.0,78.0,132.0,35.0,232.0,0.87
2003/04,Fall,269,174,88,23,17,54,66,36,56,87,146,17,252,0.94
2003/04,Winter,275,184,90,36,27,72,77,45,58,92,149,27,248,0.9
2003/04,Spring,275.0,171.0,95.0,42.0,26.0,62.0,63.0,47.0,65.0,95.0,150.0,26.0,249.0,0.91
2004/05,Summer,275.0,166.0,88.0,33.0,22.0,44.0,73.0,49.0,58.0,91.0,140.0,22.0,253.0,0.92
2004/05,Fall,275,166,87,22,19,53,57,25,42,80,135,19,256,0.93
2004/05,Winter,275,158,74,19,15,43,43,36,32,82,130,15,260,0.95
2004/05,Spring,297.0,189.0,102.0,40.0,34.0,74.0,77.0,47.0,70.0,104.0,154.0,34.0,263.0,0.89
2005/06,Summer,378.0,263.0,174.0,119.0,79.0,111.0,149.0,102.0,122.0,160.0,227.0,79.0,299.0,0.79
2005/06,Fall,379,245,127,48,39,82,59,48,78,128,194,39,340,0.9
